	Username	Id	Tweet	Location
0	davil_cristina	800747636223422464	"RT @Miriam_Junne: México, 19 de marzo, Reporte Técnico Covid 
Confirmados: 164
Sospechosos: 448
Negativos: 921

#COVID19mexico"	CDMX
1	davidanayac	3269487625	RT @ssp_sonora: Mujeres privadas de su libertad del Centro Femenil de Reinserción Social en Hermosillo, como parte de las acciones preventi…	
2	QueenSheilaE	1111816471536119809	Is sundress season cancelled this year? Covid-19 took away EVERYTHING!!!	Fayetteville, NC
3	byr2501	64728077	RT @ImagenTVMex: ¡@OdalysRP da positivo a COVID-19! Así reacciona @patoborghetti @deprimeramano👌: https://t.co/rbdqEEWorg https://t.co/HkWu…	CDMX
4	spicychismosa	987908709966737408	RT @DemSocialists: COVID-19 is teaching everyone what socialists already know: the whole world revolves around labor.	CoSalish and Skagit
5	amirulhaziqqq	3023637896	RT @undateables_jb: Good news! My work went really well today. &amp; no one was been rude to me while I was working with the trolleys. 🛒🛒 I sta…	Québec, Canada
6	xLiteratrix	2509149050	"RT @baeonda: I’m 22 years old and I tested positive for COVID-19. 

I’ve been debating on posting, but I want to share my experience especi…"	1247 0033 8196
7	watsonthedrumm1	712562644012572672	@Terrilltf Why not? If vote for them you can criticize them. Protecting everyone from Covid-19 is part of their job. No one pats me on the back at work just for showing up.	The known universe
8	EdgarNieto27	355810012	RT @Milenio: Empleados de Starbucks, Vips y otras empresas tomarán ausencia laboral de 30 días sin sueldo por #Covid19 https://t.co/MXOFZeG…	Mexico City
9	4syhh	996079037859573760	RT @arjunahashim: Kerana sikap pentingkan diri seorang manusia yang positif Covid-19,Semua penumpang kena trace balik &amp; saringan. Ya Allah…	sendu
10	soyfelipeh	786177360114573315	Las conversaciones que he tenido en las últimas horas solo me hace prever lo peor en relación con el Covid-19 en Colombia. Me atrevería a vaticinar un panorama muy caótico para los próximos días. Espero no tener la razón.	Bogotá, D.C., Colombia
11	nuraaslar	2274334404	"RT @DylaSafrina: Good explaination about covid-19
Mana mana yang tak faham Kenapa duduk rumah, so boleh hadam video ni

Sumber: Facebook Dr…"	Johor, Malaysia
12	antanana_sub	1223258797893799936	"CoCシナリオ【悪意の連鎖】

2020年、COVID-19が世界的に大流行した。
感染を恐れた人々の中で、他国の人を排斥する運動が起こり始める。
SNSを介して次第に過激化して、宗教化していき、発生源の特定に向かっていった。
そして、ある日本の都市で事件は起こってしまう。
さあ、魔女狩りの始まりだ。"	狂気山脈上空
13	chrisrasz	209674289	RT @randytorrijos: Comcast Announces Comprehensive COVID-19 Response to Help Keep Americans Connected to the Internet https://t.co/R41IYzip…	Redwood City, California
14	cloudydays1971	2198842652	"RT @NickKristof: A hospital in Seattle area has sent out a note to staff, shared with me, suspending elective surgery and warning that ""our…"	Denver, CO and Houston, TX
15	Chris_1791	312149882	Coronavirus: Kelly Ripa, husband Mark Consuelos donate $1 million to aid in COVID-19 relief https://t.co/w8fwZX7J4V #ArtsEntertainmentCoronaviruskellyripa via @6abc https://t.co/hxCKzvm0s5	Philadelphia PA, USA
16	Syanazkhan	950415642410172416	RT @aishahariffin22: Menggigil satu badan bila dapat tahu abah positive covid-19. Tak selera nak makan. Tak tahu nak buat apa. Termenung. S…	Perak, Malaysia
17	lufeguga	126423363	RT @MALENACOL: Que el COVID-19 no nos haga olvidar otros vulnerables que tambien nos necesitan! Porfavor COMPARTE! https://t.co/wuBbypLrJq	Medellín
18	marcdaalder	874084080	RT @NewsroomNZ: Retired medical staff are being called on to fill staffing gaps ahead of a potential surge in Covid-19 cases, writes @marcd…	Wellington, NZ
19	schulzsam	2750979686	"RT @DCteachild: Tonight's #coronavirus newsletter: So Much Stuff.

- Russian doll of new California orders vs. L.A. County orders vs. city…"	Los Angeles, CA
20	Antoorosas1	1014715222970503168	"RT @Florcmercado: En Italia colapsó el sistema salud, y llegaron al extremo de elegir q vida salvar! si sos + de 80 no hacen nada. 
Imagina…"	Córdoba, Argentina
