Username,Id,Tweet,Location
stayhigh2087,151963462,Give him face mask or hand sanitizer,"ÜT: 6.5872859,3.3320814"
iz_Neuron,291932983,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,somewhere in the World..🌍📍
MrDZmoney,2982552845,"https://t.co/LHwpUxvZXJ

Still Checking out!!

N95",NY
GabAfoNG,315245155,Nigeria is pure cruise,Nigeria
b_Qosim,313181592,RT @lordrooz: I hear you are wearing the mask wrong.,Aba...Ho Chi Minh...Penang
JaySnow23,24833054,"I canNOT wear a facemask and talk to Terrell😂😂😂
I can never stop laughing. Mask been fucked up since I put it on💀","Austin, TX"
chormondor,1062777913798356993,@arpispeaks N95 Mask.,Nahi Bataunga
im_notevilyouar,1113080721466384385,@Nxghtshxd Genru pokes his head into the kitchen. “Hey guys!” “Hi Genru!” Malin smiled. They rarely wore their mask anymore.,Tired as FUCK
Habu_1,782582052,RT @precious_mecci: Why didn’t you snap your gun and mask dear?,SomewhereInNowhere
rickjames002,1179433336361668608,Fat boy Don should try this.,United States
TrexPushups,35511081,"RT @ZachWeiner: Boy, the prepper community got mad about this post, but the gas mask fetishists have been remarkably polite.",She/They
gypsumr,2828152991,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Gypsum, Colorado"
bjmuller09,712524773,"@Onomeh__ So you expect me to sneeze inside my own mask, that's unhygienic...eew😁",Cape Town
bartszever,1106401488,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Gent
COM0LAFLOR,168178696,RT @citazworld: Means he wasn’t using them properly like 90 percent of users.,por ahí
drlena60,2700204616,"@waltshaub Or riding along with an EMT as they respond to calls not.knowing what they are dealing with, only with gloves and a paper mask.",United States
SABELO_27,1029056161079877632,RT @Fahvy2: When you work at a bank and 4 guys with mask come in but they're only robbing the place,"Malalane, South Africa"
jackiepatie,466972169,"This is probably a terribly niche question, but is a PP3 mask the same as an FFP3?",Kent
Lizeth____Lopez,375880097,"But if you'd just take off your mask
You'd find out that everything's gone wrong",Mermaidia 
CBFlake,28006854,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,West 'byGod' Virginia
BoredShiro,4700821895,"RT @maithism: Moon Jin having Kook’s bunny mask, Namu Namjoon ain’t impressed https://t.co/hYT8hlvnju",Debajo de tu cama
TYFbyBandS,1209158622,"RT @Tobbsticks: Went to get Face mask and gloves, and I saw these https://t.co/HIWAFXiNGr",Nigeria
BettyB919,1594571598,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Not Chicago
sadghostxfiend,14640002,Fuck people. This isn't okay.,"Las Vegas, NV"
4nxietyler,1646837156,"@taejoosh tomb of the mask, run race 3d, tiny héroes adventures",marti trola y campesina
PROFEPHISO,221714319,"RT @Tobbsticks: Went to get Face mask and gloves, and I saw these https://t.co/HIWAFXiNGr",ABUJA
AltFireAviation,825118870931333124,"RT @MeowyMc: Dr. Fauci unveils a mask that could save millions of lives! 
#NotDying4WallStreet #Fauci #TrumpLiesAmericansDie https://t.co/a…",Gives A Fuckistan
Momandbella,2163217477,I’m so bored I’m giving my boyfriend a spa day in my room. He’s just laying here with a face mask and feet up 🤣,"Cleveland, OH"
RealRita17,874900210023108610,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Santa Maria, CA"
its_damilola,873125414306144260,"RT @Utdzoba: Thanks, kindly remind 2Pac and Biggie to use the mask too.","Lagos, Nigeria"
Crystaldfoster3,821213688753520640,@KellerRohrback All of this while trying to engage 3m into a being open to a fast and productive way to produce mask globally.,Richmond va
redcoatJM,2834399070,Hubby had flu for week. How long his quarantine? Will a mask help?,Queensland
ZindagiKhwabHai,85096771,"@KayjeAdam @FajarMinallah @sushantsareen for that policemen need gloves and should also cover their arm, besides mask.",सफर में
its_Alamba,837204980,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Under the canopy
idkval,947032854,"Weed: smoked
Stummy: full
Show: on
Ice cream: eating
Face mask: drying
Vibrator: out
Bath: filling",gnv/mia
Ms_CherryMoon,231293988,RT @CJDeuce_: Slim thug had on gloves mask and was self quarantining and still got it! What that tell ya?,#Philly
Mufeedah_IK,884397599498915841,"RT @Tobbsticks: Went to get Face mask and gloves, and I saw these https://t.co/HIWAFXiNGr",Rahhhhhh
anjaligupta90,52138010,@mfoxhunter My friends and family in Singapore can't find a mask. No mask is available.,"Palo Alto, CA"
johnhpetroff,973961469489565698,"""We're gonna #ReopenAmerica by Easter. Where's your mask?"" https://t.co/TaWhJd7PHM","La Porte, IN"
SpaceMonkey000,314209046,@_paulrodgers You do the mask well.,"Vancouver, BC"
JavierL4USA,1558894586,RT @ConservativeXT: More shit that didn’t happen. #CNNFakeNews https://t.co/16FssNRHku,"Miami, FL"
keeleyhayward,261868770,"RT @DadsPuns: They said gloves and a mask would be enough to go to the supermarket..

They lied, everyone else had their clothes on.",UK
teteists,1061741979707629569,HELLO I WAS GNA GO TO THE BATHROOM TO PUT ON A FACE MASK BUT I HEAR SHUFFLING OUTSIDE,"19, she/her"
NocbroNation,879890775328382977,@TheWalkingDead Looks like maybe Daryl will be using the Whisperer mask trick from that picture!!,"Omaha, NE"
Miichael_11,500381315,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"North Babylon, NY"
mikelnoangelo,185490411,"@4everNeverTrump @MittRomney @sirDukeDevin Well, he could wear gloves, mask,  and scrubs when he hits Rand Paul. 😆",Somewhere warm.
WorthlessDreg,1106658388631584769,"@undeadscribe Oh.. oh no... At least she was wearing a mask, right? https://t.co/GfD92HLb5r",Not at Your Local Arby's
27ringsSMDFTB,259988184,RT @bigracks: this not the first time society made us wear a mask 💯,On an ultra light beam
LesVDavis,49532208,"""I hope to be roaming outside freely and without a face mask very soon,"" says an American quarant... https://t.co/NAg4b9cwbm via @YahooNews",Worldwide
lolaapple135,610745099,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,wonderland
nephraz,16905144,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Atlanta, GA"
SurrealFida,173975570,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Swansea City
annaleenock,346321134,@BRATPlTT i have beeeeen looking for the facemask can u gift me one???,"Los Angeles, CA"
DukeDylan15,619925590,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Richland Hills, TX"
udoeka,134027644,The nation is burning and your law makers take the day off. Great stuff.,Earth
JudyHarris15,545311014,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Earth
Aliyu_P_C,1130160040814481410,RT @Hafsaahh__: Deadddddddddd😭😭😹😹😹😹,"Kaduna, Nigeria"
