Username,Id,Tweet
AnuliKay,2680526305,RT @Amna_alsharaf: This is happening in italy because they have limited artificial respiratory machines and you think if things gets worse…
marnanel,767858,"RT @cjsmithvet: Seen elsenet:

American politics in a pandemic is like The Trolley Problem but the most important thing to save is the trol…"
thedivinci,1584797630,RT @cnnbrk: A Phoenix-area man is dead and his wife is under critical care after they took chloroquine phosphate in an apparent attempt to…
Roselle17___,616244772,"World about to end, I’m convinced. Folks get right with God please lol"
LydiaDa31835028,867579211036360705,"RT @oliverdarcy: CNN spokesperson responds: “If the White House wants to ask for time on the network, they should make an official request.…"
jessicaph10,1087274667537137664,"RT @Koreaboo: SM Entertainment Criticized For Attempting To Profit Off Selling Masks During Coronavirus (COVID-19) Outbreak

https://t.co/T…"
MsFeatherWeight,17104888,RT @dubsteppenwolf: People who live like this don't cook for themselves. They don't clean for themselves or drive themselves places or nann…
DanielBrain64,2750948192,"RT @tedlieu: This is what @realDonaldTrump issued last week: “guidelines” to slow #coronavirus. https://t.co/S6WgvPl4RG

Trump has no manda…"
carlos_ecks,1224002562942173184,RT @raybae689: US coronavirus deaths exceed 100 for first time in a single day https://t.co/TCiUiAIpbp https://t.co/tTgIEViMkQ
beekman33,15215339,"RT @maxbrooksauthor: A message from me and my dad, @Melbrooks. 

#coronavirus #DontBeASpreader https://t.co/Hqhc4fFXbe"
sharmari_,3239230500,"RT @LaurelCoons: #Coronavirus Pandemic Is Accelerating:

🦠&gt;300,000 #COVID19 cases, from almost every country in the world

🦠Took 67 days fr…"
gabbynader,2842968887,RT @MemphoNewsLady: FYI: 30% of those tested for #COVID19 in South Korea reported losing their sense of smell.
fatbearbc,33090743,RT @jameelajamil: Forcing birth during an economic crisis with a complete lack of job security for most Americans during a PANDEMIC is such…
Roastar2,1046169889138868225,"RT @BrandonBeckham_: @BreitbartNews @realDonaldTrump 🇺🇸 Pres @RealDonaldTrump has taken #coronavirus seriously from the start, responding b…"
Jill_Vest,498663637,This is the way it should be.
M4lev0lent,1613108256,"*Malaysians insisted on religious gathering despite warning*

Also these Malaysians:
“THIS IS ALL CHINA AND LGBT FA… https://t.co/ftycg2xVBg"
abidsae54834807,1128210292041768961,LIVE |  You could face jail time or a fine for breaking SA's lockdown rules https://t.co/RbqZqJ251e
hafizudinrahim,833494995550089217,RT @TheSJTobin: When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up…
Jaceson,35323293,"RT @AdamBaldwin: ICYMI:

“Daniel Dae Kim's personal physician prescribed him a 'drug cocktail' that consisted of the antiviral medicine Tam…"
SANABUNNY3,1064196672786288643,"#17GloriousYrsOfAlluArjunCDP 
It's going to be massive🔥"
rbtess2,838517151308922880,"RT @Education4Libs: Get this.

Pelosi rejected the Covid-19 relief bill in favor of one that includes:

-No voter ID to vote
-Anonymous bal…"
PRubyruby01,819235294968954880,RT @originalspin: Warren is pushing Biden left. Just because you’re done running doesn’t mean you’re done working. https://t.co/DdFOtGujcK
jeffpiatt,63501432,@ThatJunkman 'Are you kidding me?': McConnell blasts Democrats over coronavirus stimulus deadlock https://t.co/136VYPKX4Y via @NBCNews
L_M_Fisher,3847810815,RT @FluTrackers: US - New Orleans Archbishop Aymond says he has #coronavirus https://t.co/Uf6KCIhKEP h/t Pathfinder
Ragcha,1441673053,I have very mean thoughts about Senator McConnell. I hope he is replaced soon. #BlueWave2020  https://t.co/JOoYaP5BGP
daricanmami,4423639035,"This coronavirus shut down is full of 
Dj’s goin live with the tunes,mfs getting exposed,
Errbody doin live prank
c… https://t.co/NopOoimgYi"
dauhhh_,1005852375267995648,RT @goal: BREAKING: La Liga and all other leagues in Spain have now been postponed indefinitely as a result of the coronavirus pandemic. ht…
clavojackie,738331907071430657,RT @hqimshah: Just look at the YOUNGEST POSITIVE COVID-19 in Brunei. My heart just shattered looking at this adorable cute baby. May Allah…
TheSammyLou,1166491865870475264,"RT @sahilkapur: House Democrats just introduced their $2.5 trillion coronavirus stimulus package.

The 1,404 page bill: https://t.co/yBZCJH…"
LadyJudy5,1121816969160749057,"So @IvankaTrump, @DonaldJTrumpJr, @EricTrump Your dad wants to kill off all the senior citizens in the country, and… https://t.co/7CdH77vghM"
Aayushi08693607,1017284536554565633,"My Three year old niece is making awareness through a video of how to deal with sneeze cough n cold , which virus i… https://t.co/zDf0DkbFqa"
mlyksg,70249034,"RT @_SJPeace_: This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan. 

He knew there w…"
MSinger75,2505483057,RT @cain_nate: Many people have reached out to me concerned about seeing train loads of military vehicles. There is no need for fear. There…
khanzamankakar,175132837,Inhuman &amp; condemnable. This can only happen in Pakistan.
willmacht79,1140979842,RT @NikkiHaley: This is beyond embarrassing and an arrogant abuse of a vulnerable situation. #GodHelpUs
jaylenreese20,1213910571898159104,RT @Nsugaar1: This pandemic will be over before the end of April and we’ll have the best summer of our lives.
tarsena1211,2181524472,You have no business claiming that this is overhyped until you are in his shoes. #coronavirus… https://t.co/lmjihGCFc8
RealLPBarb,724603880,"RT @RepAndyHarrisMD: No voter ID to get a ballot, and anonymous “ballot harvesting”...why is that hidden in Speaker Pelosi’s coronavirus bi…"
pheonix_snu,3256814646,"RT @perlmutations: I always believed God don’t like ugly. How long, God? How long???"
KevSteph1,718223727352279040,RT @PressSec: President @realDonaldTrump just signed an EO to prevent hoarding &amp; price gouging of supplies needed in our war against the #C…
Ed82612442,963126963761303553,RT @PressSec: President @realDonaldTrump just signed an EO to prevent hoarding &amp; price gouging of supplies needed in our war against the #C…
HowonsSocks,340412572,"RT @CalebJHull: Sen. @tedcruz UNLOADS on Dems from the Senate floor:

""What the hell do the emissions standards on airplanes have to do wit…"
Peekabooboi,844998061,"RT @razeefizlan: ya Allah, You already gave them huge test much more than us around the globe. If this is for their own good,  provide them…"
ALTHEA595,1003128394836578305,"RT @TrumpWarRoom: Doctors told Rio Giardinieri there was nothing more they could do. Rio said goodbye to his wife &amp; 3 kids.

Then he heard…"
JWillieii,1345996543,"RT @business: #Coronavirus:
-Cases top 381,000, 16,500 dead and 101,000 recovered: Johns Hopkins tally
-Thailand cases climb to 827
-Southw…"
bozduguay,3948995117,"RT @KieserBill: Trudeau is starting to get angry, demanding people stay home, but he's allowing people to enter the country from highly inf…"
TERRORISTELIMI1,1213605790235316224,"RT @CattHarmony: American people, take notes! Here is the list of political agendas that Nancy Pelosi &amp; other Democrats value more than you…"
frhnzz,1321778012,RT @TheSJTobin: When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up…
MrsAutonomous,705415096978178048,RT @tkinder: Too late
normalnnn_,2286306260,RT @D_DeGea: Love it! 💪🏼😍
vipulk85,2861760620,"RT @gyanjarahatke: Friends, Today evening I will be taking  an interview of a doctor who is working in Shanghai (China) from last 7 years.…"
NeylShamaini,148004385,"RT @malaysiakini: Italy's coronavirus deaths slow, offering glimmer of hope https://t.co/7PnrgUhLfn https://t.co/QpABz53NHu"
rowanaelin,483829562,she literally said focus on what really matters (the pandemic) but okay 💀 and I can’t believe this bitch is preachi… https://t.co/tywrh6pNK2
ApadanaFreedom,1137755755292106753,"IMF says Mideast, Central Asia countries asking for coronavirus support https://t.co/PqjQxi6kmd https://t.co/x1geXAcLW3"
Pat_Cluett,215289763,"RT @HaltonWomensPl: In the face of this pandemic, we are doing our best to keep our staff and clients safe, comfortable and healthy, and do…"
VeekthorOpara,807587894173069312,RT @spectatorindex: JUST IN: 78 new coronavirus cases in China
DineshR66166687,941867583434735617,"RT @NBCNews: Latest: As of 11:00 a.m. ET, March 23, there are 35,054 confirmed coronavirus cases in the US, and 447 deaths. https://t.co/q0…"
indiafi18053625,1236677501008482304,RT @shukla_tarun: Can't believe how people are treating our airline crew. This @IndiGo6E crew is nearly broken from being discriminated &amp; t…
NorCal26218,3406786625,RT @Barnes_Law: Pandemic panic used as pretext for every leftist wishlist.
davidcblackmon,52551052,"RT @IngrahamAngle: ""I’ll work with anybody to help the American people and the American worker — I don’t care who it is."" -- Donald Trump,…"
EricJayk,257104774,"#NYC the biggest city! go figure! The govmnt needs to think about medication -not re-elections, trumps unfortunatel… https://t.co/c2Vl7PG5m3"
rachiejoy77,150115444,RT @NikkiHaley: This is beyond embarrassing and an arrogant abuse of a vulnerable situation. #GodHelpUs
InnerSeokie,1206235432054341632,RT @evrythngos: cant believe we r in an actual worldwide pandemic n celebrities think we care abt their petty drama 😐
MiaSmith998,1129188484076441600,"RT @nytimes: As bigots blame them for the coronavirus and President Trump labels it the ""Chinese virus,"" many Chinese-Americans say they ar…"
ckthis1out,866067224003571713,RT @PressSec: President @realDonaldTrump just signed an EO to prevent hoarding &amp; price gouging of supplies needed in our war against the #C…
AdamMSnow,2358799285,We were to late 2 months ago now it’s just  a matter of how bad will it get #COVIDActNow #coronavirus #comunismkills
pam1715,2161730208,"RT @peterjhasson: Nearly 3k retweets on this and it leaves out the fact that the guy didn't take Plaquenil, he consumed fish tank cleaner"
CHARMCITY187,155452703,"RT @IngrahamAngle: ""I’ll work with anybody to help the American people and the American worker — I don’t care who it is."" -- Donald Trump,…"
ketaminh,410572471,This is similar to hydroxchloroquine prophylaxis study recruiting by duke university in USA I believe
StainerJulie,1207895616384200704,RT @pjwilb: I couldn’t agree more. 🤢🤮 https://t.co/KX0wnav5te
ivyishh,1231049624451997697,Marriage proposals during a pandemic seem so crazy and flippant to me
