Username,Id,Tweet
yeshiv03,74935478,RT @nagarjund: Congress MLA Dr Ranganath made sure every MLA entering Vidhan Soudha wore a N95 mask. #COVID19outbreak https://t.co/zdCFq2Ow…
NAZHlWA,3314464902,"RT @kimyaqee2: No one :

Face mask during Covid-19 :"
View_BKK,145479627,I think I’ve got carbon monoxide poisoning from wearing this mask. 😝😂😝
nekoeow,946814352585146369,RT @boizindependant: Who want me to be their face mask?
yazminnaliyah,2275406222,RT @biancaabambi: Exactly! Us healthcare workers are being forced to use the same mask all day because of shortage!!,"Texas, USA"
sparklingwolf,26388704,RT @FOX21News: Pennsylvania man faces charges for deliberately coughing near elderly man who was wearing medical face mask https://t.co/9eJ…,Colorado
milloowclown,455715020,"RT @soompi: Idol From Rising Boy Group Melts Hearts With Sweet Voice On “The King Of Mask Singer”
https://t.co/U8znP9dVUz https://t.co/J4g9…",Indonesia
dr_barnowl,34252020,@NikkiMcR The mask slipping?,
MSketchy,2905687436,"@jboogie2034 @ProfessorCozy @ChrisDJackson @KamalaHarris So you're ok with systemic racism, because it happened a few years ago? Mask off!",omnipresent
thiccerdoodle,714247869906173953,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,A Pumpkin Patch
turbothotaholic,1125389677,RT @bigracks: this not the first time society made us wear a mask 💯,society
epiNewman,1159753595123916800,@geochurch Bonus points for a Rorschach mask,Berlin
Kpanti_mama01,945447674,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Dubai, United Arab Emirates"
YAROSLAVAROBYK,846345388214931456,RT @visualplague: The untold origin story of the N95 mask #COVID19 #coronavirus https://t.co/RqfHWZoPwG,Ecuador
danascaaa,3075420593,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,Albanie
Incognitogamer2,1069890578068967426,"RT @Dadsaysjokes: They said gloves and a mask would be enough to go to the supermarket..

They lied, everyone else had their clothes on.",
oluwafiisayomii,524165859,So what is now the purpose of wearing the face mask,"Lagos, Nigeria"
iamdheyeror,1127207373251080193,"@ImGameplaYz I will buy food, alcohol,face mask , soap , medicine s , vitamins because its currently lockdown 
In my because of covid19",Philippines
EyesOnTheRight,724282165178032131,@utah161 You hate to see skull mask on skull mask fighting.,Behind You
soundofsungie,1109544543349862400,@princesidonluvr BRO I JUST PUT A FASK MASK ON TODAY??? our minds???,asda
fact221,1202191840822407168,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,
nazeephie,747169228537663489,Typical Nigerian pikin 😏😏😏,"Dutse, Nigeria"
the197vibes,942857525581447168,@HomerWasTaken Maybe cs u wear the same mask everyday,The 1975
nrthrndancer,740519856060129280,"RT @ProgressAlberta: Folks, not sure if you've heard, but our Premier is an asshole https://t.co/dh4CMi6UTI",Canada
iAmDanky,1035688697675563008,"RT @_themide: Me: I think I'll just go out like sharps, not using glove or mask won't cause any harm na

COVID19 : https://t.co/k6W4QWXkbc","Port Harcourt, Nigeria"
JosephO80615080,1188544474038853633,USELESS BILLIONAIRES.,
SouthShoreJosh,798597504535298048,"Day 11: watching the pro-life party go full mask off, kill whomever for profit",Ashmont
MAGAPATRIOT_TGM,997538850472898562,RT @FairyQ15: A pair of pull ups make a handy face mask https://t.co/iejPgNW2oN,"Texas, USA"
krisamissy,579995902,Who do us no do us well sha.,
LivRidsdale,4196722235,This is the type of behaviour that makes me ashamed to be British,"Skipton, England"
alicebaby___,1086591932380442626,RT @Bubble_minakie: Somebody should help me put a face mask on my avi as well.,
aptSwissy,1202626109537476608,Mask or No Mask? This Is What the Virus Experts Say  https://t.co/sx4c9hBWcY,
etuksmit,191595253,b'Lol why do Nigerians feel they can tell the wealthy what to do with their money?',abuja
babysseoks,948854982341636096,"b'RT @maithism: Moon Jin having Kook\xe2\x80\x99s bunny mask, Namu Namjoon ain\xe2\x80\x99t impressed https://t.co/hYT8hlvnju'",they/them idrc 🏳️‍🌈
Stephen66963217,1148599694504923139,<built-in method strip of str object at 0x11939cb78>,
bouga2,43084888,"RT @Tobbsticks: Went to get Face mask and gloves, and I saw these https://t.co/HIWAFXiNGr",
cyantoo11,1242529832665260034,@fredapsychic We don't want to give you a mask,
brianna_l0pez,2789110382,"RT @XXL: Juice Wrld and Ski Mask The Slump God flowin’ on the tour bus 🚎

https://t.co/p45qVt6O5E","San Luis Obispo, CA"
shrubmud,1070011199679594496,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,
BukolaA_,387595504,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"london, Lagos "
EmmanuelCampos_,398933447,@tomwookieford Pandemic alert... we need mask our government hates us..,"California, USA"
Itz_peatah,3241847561,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Lagos
fran6Mayokun,726432358027681798,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Lagos, Nigeria"
ReciteSocial,3069279631,@choo_ek Your Tweet was quoted in an article by @businessinsider  https://t.co/SzsCA2j6ne,
Hockeyman55,22111770,@Mousesteps @MarkWillard85 I've been wearing a mask in public and at work for the past week. I figure better safe than sorry,Palm Beach Gardens
breeyourself__,333587066,Why tf does my job care sooo much if I wear a mask?! We work in a damn hospital!!!! I’m wearing one tf!,
michelsle,941063652,RT @bigracks: this not the first time society made us wear a mask 💯,flossing
SteephanieRenee,371999327,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,Dont take me serious
BKINGTHEGOAT,1206964604456374272,Y’all not even buying the right type of mask CTFU 🤣,
WolfOfWarStreet,1057871298,RT @Emarged: Yes. He's doing the lord's work. God will richly bless him. Spread it.,
sarkinswagz,143068427,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,🇳🇬🇬🇭
hormo_nelson,1113464441423765504,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,currently on exile
ItsShamii,4478904976,I need that mask🤔,"Abu Dhabi, United Arab Emirates"
flaneusecouture,1259952938,"FREE FACE MASK 
(You pay shipping only) 

https://t.co/YOym1u9W4m https://t.co/qY9z1dvRpg","Baltimore, MD"
tsuder,15358350,Crisis Heroes: Meet the Virginia Couple 3D-Printing Mask Shields for Medical Workers https://t.co/PkRsICM96l,"ÜT: 39.081305,-77.496319"
DarmaniRidley,2987799610,Been tryna tell em 😂,Savannah state university 🐅🔸
Nwanney_Amaka,1077188648423120896,"Take a good look at your leaders. The people that make or mar the economy. 

Nigeria don reach express already🤦🏽‍♀️",🇨🇦🇳🇬
Doramary,15379585,RT @alikodjak: You think the mask shortage is bad? Look what's coming.  https://t.co/4vUARBOvNb. @MendozaMartha @Jlinderman @AP,South Florida
priscillamousom,2266499154,White people are too much,"Dallas, TX"
bartboiperv,726062112435380225,"RT @MaskMaster_BL: YOU WANT MY FIST IN YOUR BUTT? 
#master #slave #rubber #leather #gloves #mask https://t.co/deWAmMVqRb",Nederland
Yazmine4L,164101456,RT @CathyYan: Oh fuck yeah. Thanks KEVIN SMITH 🤩,"Dallas, TX"
__MarianG_,716660182277824512,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Accra, Ghana"
life_of_baron,410720782,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,United Kingdom
fakjanet,872855886154412032,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Lagos, Nigeria"
FermentedSkunk,574666993,@Foxena Nopebopenopenope..... noooooo. It's an awesome mask but I'll pass on the leeches thank you.,"Houston, Texas"
mollyydexter,4699955680,a nurse just gave me a mask and bended the top for a nose bump before handing it to me and how big she made that bump really humbled me.,"Chicago, IL"
idekpablo,4335693852,@Michaelreeeves steal me a mask,"Houston, TX"
lmcdaniel64,160730318,RT @SiCk_DiAbLo: Did the Obama Administration Leave the N95 Mask Inventory Depleted?  https://t.co/mMIaDqXNQh,texas
AuthenticA_Hole,4441420163,RT @signoutlife: Reverse cowgirl because she forgot her mask at home,"Alberta, Canada 🇨🇦"
kokkino_ptwma,3144382006,You can leave your mask on #CoronaVirusSongs,Τρίτος τάφος αριστερά
Wajiha_SK,938050794347143173,"@LoyalSalmanFan1 @FreakeNx_ Bhai 

Protect yourself from the mask
Wear coronavirus 😌😌 https://t.co/WOKxEZKWVh",Punjab
youlovebrittums,43753381,RT @Fahvy2: When you work at a bank and 4 guys with mask come in but they're only robbing the place,C a d i l l a c t i c a
MiguelDS__,2200054705,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,Bdx 33 | P o r t u g a l 
b3ll,17611623,@maxweisel lmfao the mask,"Palo Alto, CA"
CherrelleArykah,187333798,A lot of ya with these gloves &amp; mask are dumb as hell.,GPS signal lost🤷🏿‍♀️
Umeh447,2563444030,@bill_onuegbu come and see ur grandpa 😂😂😂,Nigeria
Sameena1K,818035279,"I wonder what it feels like to be a psychopath, with zero human emotion navigating a world where you have to mask your true nature everyday.","England, United Kingdom"
jasdesp23,1050019336625229824,"RT @ritzzaslayz: I’m just ready for a girls night once this virus thing is over. Movies, popcorn, face mask, gossip, wine, and a little bit…","League City, TX"
qumeqo,512525544,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Ghana
JumpOttawa,2370817676,"RT @BrookeandJubal: John THOUGHT he was living the dream, until his date pulled something out of her bag that scared him half to death! htt…","Ottawa, Ontario"
VdotL,61105309,@KieYul Bout to go out here with a mask!,"Super Bowl Champs, MO"
GeekyB,20520389,Y’all look stupid as hell in your OWN car with a mask on. Smdh 😂😂. #isaidwhatisaid,Hell on Earth
JPS_Health,1002534938,"@pbf431963 JPS is not requesting donations from the public of mask, gloves or medical supplies.","Fort Worth, Texas"
priscilla4039,814235235139420161,"RT @XXL: Juice Wrld and Ski Mask The Slump God flowin’ on the tour bus 🚎

https://t.co/p45qVt6O5E","Houston, TX"
YungHusband_,230928976,RT @brumeyuval: Nigeria is in trouble. Willful illiteracy is the real enemy.,Nigeria
cooljay_b,724721556119793664,How did even end up having people like this in power. Worst of all he's still laughing after what he did.,"Edo, Nigeria"
safetyorion,1128068346761699328,"@Louis_Tomlinson Baby, in that case tose people should wear special equipment. A mask and gloves can be good",Colombia
ybabash,151283792,RT @deeejerh: These people don’t even know why they were asked to use facemask 😭😭😭 https://t.co/qDClJzhlI0,Abuja/Kaduna
hughknowit,19284852,I got a mask and had to https://t.co/XvYrVc8QI1,"Texas, USA"
sophieandlili,15587589,@JesseKellyDC Go into a NYC hospital right now with no mask. Thank you for sacrifice.,Connecticut
ASingingBear,28217331,@yashar All I can think about is that this woman’s mask is NOt covering her nose so it’s not actually working for her.,"Minnesota, USA"
ilandgrl,16309684,"@ABC What are the expiration dates? Weeks, years, decades old? And how does a mask expire??",(ᵔᴥᵔ) Trapped in the Big Apple
gosh,253411316,be my mask to protect me from coronavirus  🥺👉🏼👈🏼 https://t.co/bWqYDUA1PB,canada
KbtKevan,2745039842,RT @BrcDi4: What is wrong with this picture?,"Calgary, Alberta"
__usyy,1436906713,"RT @AminaUshama: @__usyy @oil_shaeikh Wlhi people need awareness, I went to the market with my nose mask .. they were saying wanan sabo sal…",Heaven
Fiziker,28659789,Your kink is not my kink but your kink was prescient,"New Jersey, USA"
HOCLN2,975529532823392256,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Hamburg, Deutschland"
jessieestrada_,3054761757,Would’ve beaten the shit out of her tbh I’m sorry,we're at McDonald's honey
ebukamikeeze,3334450732,@DRElMo_ATIKU Are you guys looking at the picture? What's the use of the face mask with his nose open.,"Benin-City, Nigeria"
KasitiElisha,3223919435,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,kenya
SteelhorseQ,1009563233425022976,RT @juliemchardy: @OrlandoMH3 @SteelhorseQ @HillaryClinton The Clinton Foundation is a Mask...ie make up!,#stopworldwidepedoring
saintKuytt,1023874459806121985,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,On a mission 
CENT_Tweets,3068255987,"RT @jcochrane721: @CENT_Tweets virtual panther pride week, day 2 hat day, Eli wearing my homemade surgical mask as a hat https://t.co/6ltpp…","Dickson, Tennessee"
TheHandsomeRobV,141839533,Oh Jesus lord above please,"California, USA"
Bubbles4000,804946836045774848,"The US has stated they need 1.2Billion P2 masks, don’t expect resupply anytime soon folks

https://t.co/LkMLBMZSQi","Brisbane, Queensland"
kiingLimaa,580210181,RT @thecableng: VIDEO: Laughter as senator removes face mask to sneeze https://t.co/jfwVmcoEuL via @thecableng https://t.co/O70pwYULOY,"Lagos, Nigeria"
___mishaaaa,420351311,my father say he ready to order a face mask with a oxygen tank ☠️😂😂😂,"Virgin Islands, U.S."
austin_VMX,776469098238803968,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Global citizen
YamatoForever,633751050,@TheRickWilson @LeonCounty Yep...that's you. You got your mask when you go out in the yard?,"West Augusta, VA"
